Id	Code	Level	Time	Venue	VenueId	Title	Authors	pubURL	pdf	video	github	bib	doi	image	pages	Rate	ResearchArea	Application
C17	C	3	20-Oct-19	Visualization in Data Science	VDS 2019	Outliagnostics: Visualizing Temporal Discrepancy in Outlying Signatures of Data Entries	"Vung Pham,Tommy Dang"	http://www.visualdatascience.org/2019/	https://www.researchgate.net/publication/338948958_Outliagnostics_Visualizing_Temporal_Discrepancy_in_Outlying_Signatures_of_Data_Entries	https://vimeo.com/378345041	https://outliagnostics.github.io/index.html	https://www.semanticscholar.org/paper/Outliagnostics%3A-Visualizing-Temporal-Discrepancy-in-Pham-Dang/594906e656cae053850f248f6a9236db753994dd	https://ieeexplore.ieee.org/document/8973379	images/papers/Outliagnostics2.png	vr		IVA	H
C16	C	3	10-Oct-19	International Symposium on Visual Computing	ISVC2019	Ant-SNE: Tracking Community Evolution of Multivariate Outliers via Animated t-SNE	"Ngan Nguyen,Tommy Dang"	https://www.isvc.net/	https://link.springer.com/content/pdf/10.1007%2F978-3-030-33720-9_25.pdf	https://www.youtube.com/watch?v=Yg0sAzb46EY&amp;t=1s	https://idatavisualizationlab.github.io/N/Ant-SNE/index.html	//citation-needed.springer.com/v2/references/10.1007/978-3-030-33720-9_25?format=bibtex&amp;flavour=citation	https://doi.org/10.1007/978-3-030-33720-9_25	images/papers/antSNE.png	vr		IVA	"H,S"
C15	C	3	1-Oct-19	International Symposium on Visual Computing	ISVC2019	VRParaSet: A Virtual Reality model for visualizing multidimensional data	"Ngan Nguyen,Lino Virgen,Tommy Dang"	https://www.isvc.net/	https://link.springer.com/chapter/10.1007/978-3-030-33723-0_11		https://github.com/iDataVisualizationLab/VRParallelSet	//citation-needed.springer.com/v2/references/10.1007/978-3-030-33723-0_11?format=bibtex&amp;flavour=citation	https://doi.org/10.1007/978-3-030-33723-0_11	images/papers/VRParaSet.png	vr		VR	
S6	S	2	10-Sep-19	Practice & Experience in Advanced Research Computing Conference Series	"PEARC10:  July 28 - August 1, 2019 Chicago, IL"	HiperViz: Interactive visualization of CPU Temperatures in High Performance Computing Centers	"Ngan Nguyen,Tommy Dang"	https://www.pearc19.pearc.org/	https://dl.acm.org/citation.cfm?id=3337959&amp;dl=ACM&amp;coll=DL	https://www.youtube.com/watch?v=cfKU_3ss-mI	https://idatavisualizationlab.github.io/HPCC/HiperView/demo.html		https://dl.acm.org/citation.cfm?id=3332186.3337959	images/papers/HiperView.png	vr	https://dl.acm.org/downformats.cfm?id=3337959&amp;parent_id=3332186&amp;expformat=bibtex	BDV	H
S5	S	2	1-Sep-19	Practice & Experience in Advanced Research Computing Conference Series	"PEARC10:  July 28 - August 1, 2019 Chicago, IL"	HiperVR: A Virtual Reality model for High Performance Computing Systems	"Ngan Nguyen,Lino Virgen,Tommy Dang"	https://www.pearc19.pearc.org/	https://dl.acm.org/citation.cfm?id=3337958	https://www.youtube.com/watch?v=iKmpS74G6xM	https://github.com/iDataVisualizationLab/HPCC/tree/master/HiperView20190531/HPCC_VR	https://dl.acm.org/citation.cfm?id=3337958	https://dl.acm.org/citation.cfm?id=3337958	images/papers/2019_HiperVR.png	vr		VR	H
C14	C	3	1-May-19	"The 45th annual conference on computer graphics, visualization and human-computer interaction"	"Graphics Interface (GI) 2019, May 28, Kingston, Canada"	FSelector: Variable Selection Using Visual Features	Tommy Dang	http://graphicsinterface.org/conference/2019/	https://github.com/FeatureSelector/FeatureSelector.github.io/blob/master/Scagnostics_GI2019.pdf	https://featureselector.github.io/	https://github.com/FeatureSelector/FeatureSelector.github.io	http://graphicsinterface.org/proceedings/gi2019/gi2019-7/	http://graphicsinterface.org/proceedings/gi2019/gi2019-7/	images/papers/FSelector.png	vr		IVA	
C13	C	3	1-Apr-19	" Lecture Notes in Computer Science book series (LNCS, volume 11027)"	Programming and Performance Visualization Tools	Visualizing Multidimensional Health Status of Data Centers	Tommy Dang	https://link.springer.com/book/10.1007/978-3-030-17872-7	https://www.researchgate.net/publication/332597697_Visualizing_Multidimensional_Health_Status_of_Data_Centers			https://link.springer.com/chapter/10.1007/978-3-030-17872-7_17	https://www.springerprofessional.de/visualizing-multidimensional-health-status-of-data-centers/16670914	images/papers/Hiper.png	vr		BDV	H
W16	W	2	1-Jul-19	IEEE International Workshop on Deep Analysis of Data-Driven Applications	DADA 2019	SpacePhaser: Phase Space Embedding Visual Analytics	"Ngan Nguyen,Tommy Dang"	https://ieeecompsac.computer.org/2019/dada/	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8753913	https://vixlab.github.io/SpacePhaser/	https://github.com/VixLAB/SpacePhaser	https://ieeexplore.ieee.org/abstract/document/8753913	https://ieeexplore.ieee.org/abstract/document/8753913	images/papers/PhaseSpace.png	vr		IVA	H
A3	A	3	10-Jun-19	The Visualization in Environmental Sciences	EnvirVis 2019 	SOAViz: Visualization for Portable X-ray Fluorescence	"Vung Pham,Tommy Dang"	https://www.informatik.uni-leipzig.de/bsv/envirvis2019/	https://diglib.eg.org/bitstream/handle/10.2312/envirvis20191102/033-040.pdf	https://idatavisualizationlab.github.io/Soil/	https://github.com/iDataVisualizationLab/Soil	https://diglib.eg.org/handle/10.2312/envirvis20191102	https://diglib.eg.org/handle/10.2312/envirvis20191102	images/papers/SOAViz.png	vr		IVA	E
S4	S	4	1-Jun-19	21st EG/VGTC Conference on Visualization	EuroVis 2019	WordStream: Interactive Visualization for Topic Evolution	"Tommy Dang,Huyen Nguyen,Vung Pham"	https://www.eurovis.org/	https://diglib.eg.org/bitstream/handle/10.2312/evs20191178/103-107.pdf?sequence=1&isAllowed=n	https://idatavisualizationlab.github.io/WordStream/video.html	https://github.com/iDataVisualizationLab/WordStream	https://diglib.eg.org/handle/10.2312/2632781	https://diglib.eg.org/handle/10.2312/evs20191178	images/papers/ws.png	vr		IVA	S
